                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1394,                 3.3496,                 1.4347,                0.01012,                0.96239,                0.17601,                0.12543,                0.96153,                 3.5234,                 1.3127,             0.00012221,             0.00012221,             0.00012221
                      2,                0.98942,                   2.81,                 1.3018,                0.01162,                0.97778,                0.29752,                0.23542,                0.78988,                 3.2176,                 1.1791,             0.00024541,             0.00024541,             0.00024541
                      3,                 1.0248,                 2.4722,                 1.3404,                0.63501,                0.18974,                0.36222,                0.26612,                0.92484,                 2.7497,                 1.3917,             0.00035805,             0.00035805,             0.00035805
                      4,                0.98941,                 2.0986,                 1.3079,                0.22838,                0.42051,                0.37503,                0.23796,                 1.0174,                 2.7022,                 1.4657,             0.00046014,             0.00046014,             0.00046014
                      5,                0.98874,                 1.8879,                  1.281,                0.19671,                0.29829,                0.25469,                0.13866,                 1.4034,                 3.0292,                 1.8666,             0.00055166,             0.00055166,             0.00055166
                      6,                0.97744,                 1.7776,                 1.3009,                0.28483,                0.37502,                0.39189,                0.27799,                 1.0728,                 2.5053,                 1.5006,             0.00063263,             0.00063263,             0.00063263
                      7,                0.94744,                 1.6436,                 1.2528,                0.48005,                0.48909,                0.59381,                0.43857,                 1.0032,                  2.101,                 1.4656,             0.00070303,             0.00070303,             0.00070303
                      8,                 1.0163,                 1.5361,                 1.3061,                0.49405,                0.69752,                0.70852,                0.52521,                0.94853,                 1.8219,                  1.351,             0.00076288,             0.00076288,             0.00076288
                      9,                0.95597,                   1.48,                 1.2652,                0.55978,                0.71478,                0.77115,                0.58474,                0.94662,                 1.8117,                  1.336,             0.00075904,             0.00075904,             0.00075904
                     10,                0.89254,                 1.3491,                 1.2046,                0.68107,                 0.8389,                0.84628,                0.61507,                 1.0194,                 1.7093,                 1.3723,             0.00071504,             0.00071504,             0.00071504
                     11,                0.88938,                 1.2919,                 1.2028,                 0.8224,                 0.8057,                0.87756,                0.65452,                0.91933,                 1.5374,                 1.3642,             0.00067104,             0.00067104,             0.00067104
                     12,                0.91646,                 1.2762,                 1.2302,                0.80081,                0.75019,                0.86901,                0.68123,                0.84768,                 1.4798,                 1.3522,             0.00062705,             0.00062705,             0.00062705
                     13,                0.81467,                 1.1292,                 1.1627,                0.76321,                0.66472,                 0.7704,                0.57262,                0.90473,                 1.7184,                 1.3635,             0.00058305,             0.00058305,             0.00058305
                     14,                0.83006,                 1.1375,                 1.1704,                0.88457,                0.77391,                0.84929,                0.66178,                0.91171,                 1.5364,                 1.3456,             0.00053906,             0.00053906,             0.00053906
                     15,                0.82261,                 1.0838,                 1.1481,                0.84388,                0.80773,                0.85137,                0.66061,                 0.9323,                 1.4311,                 1.2835,             0.00049506,             0.00049506,             0.00049506
                     16,                0.71522,                  1.235,                 1.1407,                0.83292,                0.74711,                0.80181,                0.61907,                 1.0636,                  1.927,                 1.4083,             0.00045107,             0.00045107,             0.00045107
                     17,                 0.7431,                 1.1994,                 1.1543,                0.92357,                 0.8189,                0.89539,                0.72867,                0.88815,                 1.4382,                 1.2981,             0.00040707,             0.00040707,             0.00040707
                     18,                0.71862,                 1.1188,                 1.1502,                0.94181,                0.83174,                0.93476,                  0.759,                0.83658,                 1.1897,                 1.2309,             0.00036307,             0.00036307,             0.00036307
                     19,                0.66692,                 1.0349,                 1.1172,                0.82913,                0.93979,                0.93179,                 0.7619,                 0.7671,                 1.2014,                 1.1649,             0.00031908,             0.00031908,             0.00031908
                     20,                 0.6318,                 1.0114,                 1.0648,                0.88713,                0.93243,                0.95191,                0.79081,                0.71528,                  1.112,                 1.0969,             0.00027508,             0.00027508,             0.00027508
                     21,                0.64234,                 0.9693,                 1.0971,                0.92945,                0.92758,                0.95424,                0.79269,                0.71079,                  1.087,                 1.1021,             0.00023109,             0.00023109,             0.00023109
                     22,                0.61521,                  0.957,                 1.0887,                0.93126,                0.93106,                0.95361,                0.78936,                 0.7498,                 1.0761,                 1.1143,             0.00018709,             0.00018709,             0.00018709
                     23,                0.61517,                0.95148,                 1.0609,                0.93359,                0.93671,                0.94178,                0.78227,                 0.7615,                  1.075,                 1.1412,              0.0001431,              0.0001431,              0.0001431
                     24,                0.58543,                 0.9034,                 1.0168,                0.95498,                0.92287,                0.93779,                0.78483,                0.73641,                  1.052,                 1.1233,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     25,                0.58943,                0.92013,                 1.0336,                0.96058,                0.92176,                0.94604,                0.79687,                0.72079,                 1.0273,                 1.1095,             5.5106e-05,             5.5106e-05,             5.5106e-05
